MOE,dry_density,acoustic_velocity
10.29612024,781.3765182,3.63
10.8831734,782.2361546,3.73
10.17847544,877.9069767,3.405
12.7738284,784.5741582,4.035
13.42382051,858.1894296,3.955
14.65199014,809.2775427,4.255
11.82172817,829.5585754,3.775
9.828044028,754.141238,3.61
13.21015397,825.6346234,4
13.10563952,762.7973021,4.145
11.16199099,795.8624667,3.745
9.916546387,736.2551052,3.67
8.996685353,792.1779141,3.37
9.531156602,727.3249139,3.62
13.00623158,842.1052632,3.93
11.26906983,807.8055965,3.735
11.31843689,746.0561755,3.895
10.10942027,869.3957115,3.41
10.75483139,731.2617702,3.835
11.6740407,779.4697634,3.87
10.39344179,773.7691848,3.665
9.693180812,812.0265152,3.455
9.321194044,760.9137995,3.5
8.761710439,847.6702509,3.215
11.80087408,792.026234,3.86
8.275097727,781.0361681,3.255
9.947153104,778.2994262,3.575
10.47653897,786.3793562,3.65
10.47171655,799.0992755,3.62
13.57679079,872.3747981,3.945
13.24869261,817.7889809,4.025
10.6308339,791.4425122,3.665
15.35204754,770.0578991,4.465
11.38520561,776.1458333,3.83
14.57538091,793.8130986,4.285
12.28467438,775.5280408,3.98
11.96988684,822.4338181,3.815
12.15114617,817.6519567,3.855
11.73048859,793.4570313,3.845
10.12621385,710.5803322,3.775
8.002797227,786.4306785,3.19
14.8241867,757.0844495,4.425
9.064552979,779.5386158,3.41
10.13624686,734.4454463,3.715
12.26475573,806.3613232,3.9
9.143393313,744.2714454,3.505
12.46428803,893.4829388,3.735
10.4833963,797.7852117,3.625
10.93937299,839.4175145,3.61
13.99597267,824.5341615,4.12
15.65099099,852.393617,4.285
7.622537179,753.781217,3.18
9.809744186,706.9767442,3.725
9.245618218,765.6430386,3.475
10.21154687,779.2456636,3.62
10.00272178,759.1103966,3.63
12.75874092,799.4186047,3.995
11.21945178,731.9949812,3.915
9.468202028,740.8246488,3.575
10.23715759,733.8345865,3.735
11.61810702,802.4649093,3.805
11.71216581,775.988287,3.885
11.70620979,819.2806604,3.78
12.2005052,785.9327217,3.94
8.828817669,851.5120625,3.22
12.08724801,834.8685689,3.805
10.63830561,814.0589569,3.615
9.517704198,801.961927,3.445
10.09523042,807.8624079,3.535
11.08120892,779.6585437,3.77
8.855014861,800.951087,3.325
10.14206831,795.7746479,3.57
10.23978518,722.3719677,3.765
11.39236822,750.929368,3.895
13.09408803,756.6387777,4.16
12.38989527,840.2435489,3.84
14.23331584,771.5778474,4.295
12.85242321,739.1165173,4.17
13.36010114,766.4728682,4.175
12.1259209,719.5954488,4.105
9.307058456,704.3744776,3.635
12.76875598,722.1319947,4.205
10.84390165,718.4615385,3.885
11.58441581,771.4907508,3.875
13.0172634,793.6145952,4.05
10.94624545,842.2764228,3.605
9.893433353,757.0602246,3.615
13.4965978,835.1648352,4.02
15.43324468,815.60283690000006,4.35
15.73007622,902.4390244,4.175
10.63971463,704.9331489,3.885
10.709870220000001,795.1555226,3.67
11.5533792,777.4281519,3.855
14.24358063,796.0465116,4.23
13.24414948,795.6164384,4.08
13.55040849,724.4028729,4.325
10.85796169,761.9288059,3.775
10.09043944,767.8812416,3.625
12.36935934,800.8701473,3.93
12.457877,733.9214934,4.12
9.426515494,801.2405965,3.43
9.800662189,717.8381486,3.695
10.08238892,827.7755457,3.49
10.29116603,770.3530785,3.655
11.88098974,724.340176,4.05
10.96257842,711.595824,3.925
10.03912838,745.3562191,3.67
13.42916818,812.6957955,4.065
14.9869261,795.6702254,4.34
12.61034725,824.8472505,3.91
7.677098602,773.7060824,3.15
10.87928235,812.1534196,3.66
8.071641886,761.8332081,3.255
9.264834356,828.0287474,3.345
8.956179516,729.0322581,3.505
9.733970532,748.9959839,3.605
9.367079199,705.0324833,3.645
9.943490698,716.6156983,3.725
10.73880745,720.7446809,3.86
10.2178018,754.5045045,3.68
12.83367051,741.5906128,4.16
11.88455747,818.7155963,3.81
13.17490402,778.0504909,4.115
12.51256344,757.2254335,4.065
12.80579392,796.3752665,4.01
10.7153766,757.9346281,3.76
11.28136875,791.6402787,3.775
11.50356316,756.3157895,3.9
13.77641002,755.5797496,4.27
11.06987144,817.423163,3.68
12.40824252,758.3561644,4.045
10.10628133,750.3419973,3.67
10.60311382,770.3455964,3.71
11.06820861,748.6600306,3.845
9.697828455,789.4024192,3.505
12.1228021,815.7446809,3.855
9.259531741,710.5172414,3.61
14.01753468,815.8730159,4.145
9.875837699,777.060576,3.565
12.76732632,757.658737,4.105
12.4305055,840.80658,3.845
11.79187664,771.3107997,3.91
13.6582232,820.4911092,4.08
11.03446218,797.3799127,3.72
11.5666366,792.6479949,3.82
10.85734339,724.9392993,3.87
14.2705618,808.988764,4.2
14.69569641,865.7564576,4.12
12.13210734,801.7464424,3.89
12.73600161,780.3157541,4.04
11.10695625,773.2441472,3.79
12.9036887,771.3780224,4.09
13.32184671,824.3512974,4.02
10.37232,768,3.675
11.47381987,847.2515856,3.68
10.09079345,802.9580153,3.545
9.806586059,793.7197468,3.515
11.96925503,855.704698,3.74
12.49171234,794.5762712,3.965
13.57547548,790.1435148,4.145
10.9495549,778.6350148,3.75
12.33361144,804.6865262,3.915
11.82933501,789.8386854,3.87
11.75586165,789.0051844,3.86
13.5961605,789.4417476,4.15
11.76063399,763.3986928,3.925
13.74635592,831.8911123,4.065
11.3046931,774.6973153,3.82
8.485425333,813.3333333,3.23
11.00378742,772.1617418,3.775
11.37140592,800.0764039,3.77
12.94259766,789.0625,4.05
13.66443191,754.7314578,4.255
11.25200019,806.5819861,3.735
13.87829421,817.6014592,4.12
11.0964622,793.3070866,3.74
10.38598832,796.9543147,3.61
9.742912566,840.3391028,3.405
9.763921199,808.5644593,3.475
10.82556001,886.2495172,3.495
8.910022808,828.1921855,3.28
12.43939145,921.0526316,3.675
10.18593566,836.2768496,3.49
9.863148397,807.4603529,3.495
7.548631925,758.3497053,3.155
10.65647619,736.0448808,3.805
11.01193395,725.8529961,3.895
11.0374461,762.3585468,3.805
12.80451205,759.8654709,4.105
7.562770587,757.3676681,3.16
13.98222305,869.5358269,4.01
12.09922045,726.8370607,4.08
13.83986704,721.4125561,4.38
14.23237121,797.3038036,4.225
11.14930285,718.2163188,3.94
11.40200039,743.9050701,3.915
13.7800559,775.6321839,4.215
12.48716824,786.3344658,3.985
12.95546544,890.1515152,3.815
12.42870736,810.8909057,3.915
11.50334855,786.2513426,3.825
12.55073462,842.3537959,3.86
11.89901181,866.8310727,3.705
12.20750649,802.5974026,3.9
9.060259079,819.515774,3.325
10.98992994,777.3547094,3.76
10.26459522,737.7753896,3.73
11.63589358,892.8640495,3.61
11.13513857,828.9869006,3.665
12.76954642,870.5183364,3.83
10.34315877,763.761133,3.68
9.796480407,862.601626,3.37
9.688123979,802.2875817,3.475
11.62360158,837.6993166,3.725
11.15767676,812.8255585,3.705
8.711633374,827.3136458,3.245
11.30079195,752.6021694,3.875
9.045059641,845.8939709,3.27
10.18080349,731.752797,3.73
11.4071851,882.6340945,3.595
7.688592817,697.5425331,3.32
